X,Y,id,data,luogo,x,y,numero_predati,specie_predate,osservazioni,icon_url
8.99045444916476,46.5536988708968,655,2021/08/17 13:00:00,Alpe Scaradra/Blenio,2719000,1157000,1,pecora,Al momento dell'attacco animali non protetti,./1.png
8.49411348368765,46.5144062706311,656,2021/08/16 00:00:00,Alpe di Pesciora/Alpe di Cavanna/Lago Sabbioni/Bedretto,2681000,1152000,8,,Al momento degli attacchi animali protetti,./2.png
8.85889932508633,46.5104326936436,657,2021/07/06 00:00:00,Alpe Rideigra/Blenio,2709000,1152000,4,capre,Al momento dell'attacco animali non protetti,./0.png
8.91272046945555,46.5727274972109,658,2021/07/03 00:00:00,Berneggio/Blenio,2713000,1159000,8,pecore,Attacco in due momenti: prima fase animali non proteggibili (2) e in seguito animali protetti (6),./2.png
8.76748732114529,46.5025416072164,659,2021/06/23 00:00:00,Somprei/Osco,2702000,1151000,1,pecora,Al momento dell’attacco animali non protetti,./1.png
9.01593327200405,46.0854815865725,660,2021/01/12 00:00:00,"Curtina/Val Colla, Lugano",2722000,1105000,4,capre,Al momento dell’attacco animali non protetti,./0.png
9.05630766135284,46.1388942301387,661,2020/11/22 00:00:00,Monte Bar/Capriasca,2725000,1111000,1,capra,Al momento dell'attacco animali non protetti,./1.png
8.77386189037773,46.232558823776,662,2020/11/06 00:00:00,Pizzit/Avegno-Gordevio,2703000,1121000,5,capre,Al momento dell'attacco animali non protetti,./0.png
9.05630766135284,46.1388942301387,663,2020/11/05 00:00:00,Monte Bar/Capriasca,2725000,1111000,1,capra,Al momento dell'attacco animali non protetti,./1.png
8.79933369369673,46.2142611529332,664,2020/10/29 00:00:00,Madone/Mergoscia,2705000,1119000,2,capre,Al momento dell'attacco animali non protetti,./1.png
