Data,Luogo,X,Y,Numero_Predati,Specie_Predate,Osservazioni,Long,Lat
2024-07-15 00:00:00,Faido,2701000,1140000,2,pecore,Numero imprecisato di animali segnalati come dispersi Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.752063075365495,46.40375518745294
2024-07-12 00:00:00,Camorino,2720000,1113000,1,pecora,Animali non protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.992130841840007,46.15779077131684
2024-07-11 00:00:00,Monteceneri,2723000,1111000,4,pecore,Sette capi segnalati come dispersi Animali non proteggibili In attesa di riscontro analisi DNA,9.030432192704952,46.139262243433905
2024-07-10 00:00:00,Faido,2702000,1141000,1,pecora,Animali non protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.765284658201159,46.41259821020533
2024-07-08 00:00:00,Isone,2724000,1111000,1,capra ferita,Due capi segnalati come dispersi Animali non proteggibili -Le analisi genetiche non hanno riscontrato il coinvolgimento di un lupo.,9.043369970401049,46.13907897877973
2024-06-29 00:00:00,Monteceneri,2712000,1107000,1,capra,Due capi segnalati come dispersi Animali non protetti per cause di forza maggiore Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore.,8.887155379805742,46.1052040917933
2024-06-29 00:00:00,Gordevio,2703000,1120000,1,capretto,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.773641325744162,46.22356451200398
2024-06-27 00:00:00,Campo Vallemaggia,2680000,1123000,2,capre,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.47608885755174,46.25367624081264
2024-06-18 00:00:00,Isone,2721000,1109000,1,pecora,Un agnello segnalato come disperso Animali protetti adeguatamente Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.004039953278069,46.12163676072128
2024-06-16 00:00:00,Sonvico,2721000,1103000,1,capra,Animali protetti adeguatamente Le analisi genetiche non hanno riscontrato il coinvolgimento di un grande predatore,9.002492701213958,46.067674216193275
2024-06-14 00:00:00,Capriasca,2724000,1107000,2,capre,Animali non protetti per cause di forza maggiore Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,9.04231186479961,46.103104236223515
2024-06-14 00:00:00,Bosco Gurin,2679000,1131000,5,pecore,dieci capi segnalati come dispersi Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo.,8.46447843774132,46.32575328788162
2024-06-12 00:00:00,Gordevio,2703000,1120000,1,capra,Animali non proteggibili Le analisi genetiche hanno riscontrato il coinvolgimento di un lupo,8.773641325744162,46.22356451200398
